GAME,BlackElo,BlackRatingDiff,Date,ECO,Event,Opening,White_Result,Black_Result,Result,Site,Termination,TimeControl,UTCTime,WhiteElo,WhiteRatingDiff,Black_elo_category,White_elo_category,starting_time,increment,Game_type,Total_moves,Black_blunders,White_blunders,Black_mistakes,White_mistakes,Black_inaccuracies,White_inaccuracies,Black_inferior_moves,White_inferior_moves,Black_ts_moves,White_ts_moves,Black_ts_blunders,White_ts_blunders,Black_ts_mistakes,White_ts_mistake,Black_long_moves,White_long_moves,Black_bad_long_moves,White_bad_long_moves,Game_flips,Game_flips_ts
11,1143,6,2020.09.01,A02,Rated Blitz game,Bird Opening,0,1,0-1,https://lichess.org/hjb8FYm1,Time forfeit,300+0,0:00:00,1180,-7,Low rating,Low rating,300,0,Blitz,66,4,2,0,3,3,1,7,6,8,8,0,0,0,0,2,1,1,1,8,0
14,1504,,2020.09.01,A04,Rated Blitz game,Réti Opening,0,1,0-1,https://lichess.org/Iz2fbHuE,Normal,300+0,0:00:00,1381,,Low rating,Low rating,300,0,Blitz,64,2,1,1,1,7,5,10,7,0,0,0,0,0,0,0,1,0,0,6,0
29,1933,1,2020.09.01,C41,Rated Blitz game,Philidor Defense,0,1,0-1,https://lichess.org/Cdj7flmY,Time forfeit,300+2,0:00:00,1485,-1,High rating,Low rating,300,2,Blitz,70,0,1,1,2,8,8,9,11,0,2,0,0,0,0,1,1,1,0,5,0
40,1710,10,2020.09.01,B23,Rated Blitz game,Sicilian Defense: Closed,0,1,0-1,https://lichess.org/WZQ9FEpD,Normal,180+2,0:00:00,2040,-11,Low rating,High rating,180,2,Blitz,86,4,2,1,5,3,4,8,11,18,0,4,0,0,0,3,1,1,0,8,1
55,1598,-1,2020.09.01,B03,Rated Rapid game,Alekhine Defense,1,0,Jan-00,https://lichess.org/ESlJl57U,Normal,600+0,0:00:00,2163,0,Low rating,High rating,600,0,Rapid,71,1,0,1,1,6,2,8,3,0,0,0,0,0,0,0,0,0,0,2,0
56,2207,4,2020.09.01,E32,Rated Rapid game,"Nimzo-Indian Defense: Classical Variation, Keres Defense",0,1,0-1,https://lichess.org/0Qr4Q3Yr,Normal,600+0,0:00:00,2062,-7,High rating,High rating,600,0,Rapid,73,0,1,3,5,3,4,6,10,0,0,0,0,0,0,1,1,0,1,6,0
70,1632,-5,2020.09.01,D00,Rated Bullet game,Queen's Pawn Game,1,0,Jan-00,https://lichess.org/5rdLi2Xy,Normal,120+1,0:00:01,1651,5,Low rating,Low rating,120,1,Bullet,39,1,0,1,1,3,1,5,2,0,0,0,0,0,0,0,1,0,0,3,0
72,1420,5,2020.09.01,D00,Rated Bullet game,Queen's Pawn Game: Mason Attack,0,1,0-1,https://lichess.org/UCrQJl9U,Time forfeit,120+1,0:00:01,1439,-79,Low rating,Low rating,120,1,Bullet,110,6,6,5,4,3,5,14,15,0,3,0,0,0,0,1,2,1,1,18,0
162,942,-3,2020.09.01,C46,Rated Blitz tournament https://lichess.org/tournament/YjcEBmci,Four Knights Game: Italian Variation,1,0,Jan-00,https://lichess.org/6HICG50e,Normal,240+2,0:00:04,1088,23,Low rating,Low rating,240,2,Blitz,69,7,3,4,2,3,5,14,10,0,0,0,0,0,0,1,0,1,0,13,0
196,1500,180,2020.09.01,E73,Rated Rapid tournament https://lichess.org/tournament/KO9fCNFo,"King's Indian Defense: Normal Variation, Standard Development",0,1,0-1,https://lichess.org/5mPzDhFr,Time forfeit,600+5,0:00:05,1559,-5,Low rating,Low rating,600,5,Rapid,28,0,0,1,3,1,2,2,5,0,0,0,0,0,0,3,4,0,3,3,0
239,1728,4,2020.09.01,C00,Rated Blitz game,French Defense: Knight Variation,0,1,0-1,https://lichess.org/dDM88K3O,Normal,300+0,0:00:11,1648,-4,Low rating,Low rating,300,0,Blitz,52,0,2,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0
244,1346,-5,2020.09.01,C47,Rated Blitz game,Four Knights Game: Scotch Variation Accepted,1,0,Jan-00,https://lichess.org/0hH7QKyT,Normal,300+0,0:00:11,1336,122,Low rating,Low rating,300,0,Blitz,39,3,1,3,0,1,3,7,4,0,0,0,0,0,0,0,0,0,0,4,0
253,2018,-6,2020.09.01,D00,Rated Rapid tournament https://lichess.org/tournament/vkZi5jaQ,Queen's Pawn Game,1,0,Jan-00,https://lichess.org/1fSb589Q,Normal,600+0,0:00:11,2002,7,High rating,High rating,600,0,Rapid,44,1,0,2,0,1,2,4,2,0,0,0,0,0,0,0,0,0,0,2,0
259,2141,8,2020.09.01,B00,Rated Rapid tournament https://lichess.org/tournament/vkZi5jaQ,"Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation, Heinola-Deppe Gambit",0,1,0-1,https://lichess.org/BW9NarOD,Normal,600+0,0:00:11,2075,-9,High rating,High rating,600,0,Rapid,80,0,1,0,3,3,5,3,9,0,0,0,0,0,0,1,1,0,1,3,0
262,1943,-5,2020.09.01,B07,Rated Rapid tournament https://lichess.org/tournament/vkZi5jaQ,Pirc Defense,1,0,Jan-00,https://lichess.org/sqCJcOrM,Normal,600+0,0:00:11,1990,5,High rating,High rating,600,0,Rapid,63,3,2,3,1,6,2,12,5,0,0,0,0,0,0,0,0,0,0,2,0
268,1404,-17,2020.09.01,B30,Rated Rapid game,Sicilian Defense: Old Sicilian,1,0,Jan-00,https://lichess.org/AAeONrLe,Normal,600+5,0:00:13,1347,7,Low rating,Low rating,600,5,Rapid,43,3,3,6,3,3,3,12,9,0,0,0,0,0,0,0,0,0,0,8,0
299,2000,-6,2020.09.01,C46,Rated Blitz game,Four Knights Game,1,0,Jan-00,https://lichess.org/AVzMUlXt,Normal,180+0,0:00:14,1988,6,High rating,High rating,180,0,Blitz,41,2,0,2,4,3,3,7,7,0,0,0,0,0,0,0,0,0,0,4,0
303,1364,24,2020.09.01,B21,Rated Blitz game,Sicilian Defense: Smith-Morra Gambit,0,1,0-1,https://lichess.org/LYtPPfIQ,Normal,180+0,0:00:05,1330,-5,Low rating,Low rating,180,0,Blitz,62,2,3,8,3,1,4,11,10,0,0,0,0,0,0,1,0,1,0,20,0
314,1200,-6,2020.09.01,A45,Rated Blitz game,Indian Game: Pawn Push Variation,1,0,Jan-00,https://lichess.org/wE0Urtuz,Time forfeit,180+0,0:00:05,1152,7,Low rating,Low rating,180,0,Blitz,71,2,3,3,2,7,3,12,8,12,0,1,0,2,0,1,0,1,0,9,2
316,1950,-5,2020.09.01,C44,Rated Classical game,Ponziani Opening: Jaenisch Counterattack,1,0,Jan-00,https://lichess.org/0ZvHjjZY,Normal,1800+0,0:00:05,1980,6,High rating,High rating,1800,0,Classical,73,2,0,5,7,3,2,10,9,0,0,0,0,0,0,0,0,0,0,5,0
343,1867,6,2020.09.01,C00,Rated Bullet tournament https://lichess.org/tournament/GAdGz1co,French Defense,0,1,0-1,https://lichess.org/lHtLJbTl,Normal,60+0,0:00:07,1871,-6,Low rating,Low rating,60,0,Bullet,68,4,6,6,5,3,6,13,17,0,0,0,0,0,0,0,0,0,0,10,0
357,1535,-6,2020.09.01,A40,Rated Bullet tournament https://lichess.org/tournament/GAdGz1co,Englund Gambit,1,0,Jan-00,https://lichess.org/g2PHolE2,Time forfeit,60+0,0:00:07,1518,6,Low rating,Low rating,60,0,Bullet,55,0,0,8,4,2,7,10,11,5,3,0,0,2,0,1,0,0,0,12,2
360,1904,-6,2020.09.01,B12,Rated Bullet tournament https://lichess.org/tournament/GAdGz1co,Caro-Kann Defense: Advance Variation,1,0,Jan-00,https://lichess.org/x4Sp8mQ6,Normal,60+0,0:00:07,1934,6,High rating,High rating,60,0,Bullet,83,1,0,1,0,5,2,7,2,0,0,0,0,0,0,0,0,0,0,2,0
399,1696,-6,2020.09.01,D02,Rated Blitz game,Queen's Pawn Game: Chigorin Variation,1,0,Jan-00,https://lichess.org/xqhBRc1u,Normal,180+2,0:00:11,1673,6,Low rating,Low rating,180,2,Blitz,63,2,0,1,0,6,4,9,4,0,14,0,0,0,0,0,3,0,0,1,0
407,803,12,2020.09.01,A00,Rated Blitz tournament https://lichess.org/tournament/dZ1fLtN3,Saragossa Opening,0,1,0-1,https://lichess.org/Ier0tZNs,Time forfeit,180+2,0:00:18,908,-8,Low rating,Low rating,180,2,Blitz,50,2,1,4,4,7,3,13,8,0,15,0,1,0,3,1,5,1,2,7,2
465,1488,-7,2020.09.01,C54,Rated Rapid tournament https://lichess.org/tournament/pVXpraU4,"Italian Game: Classical Variation, Greco Gambit, Traditional Line",1,0,Jan-00,https://lichess.org/ZLYF7jmw,Normal,600+5,0:00:20,1448,14,Low rating,Low rating,600,5,Rapid,65,2,0,1,0,5,3,8,3,0,0,0,0,0,0,0,0,0,0,1,0
469,1351,32,2020.09.01,C48,Rated Rapid tournament https://lichess.org/tournament/pVXpraU4,"Four Knights Game: Spanish Variation, Classical Variation",0,1,0-1,https://lichess.org/5fxc4HtC,Normal,600+5,0:00:20,1297,-5,Low rating,Low rating,600,5,Rapid,43,3,6,3,1,0,4,6,11,0,0,0,0,0,0,0,0,0,0,12,0
477,1268,33,2020.09.01,D20,Rated Rapid game,"Queen's Gambit Accepted: Central Variation, Modern Defense",0,1,0-1,https://lichess.org/GXTcV1YF,Normal,900+10,0:00:20,1313,-15,Low rating,Low rating,900,10,Rapid,62,1,3,2,2,1,4,4,9,0,0,0,0,0,0,0,1,0,1,5,0
481,1450,7,2020.09.01,A41,Rated Rapid game,Old Indian Defense,0,1,0-1,https://lichess.org/DyHUrlnq,Normal,900+10,0:00:20,1494,-9,Low rating,Low rating,900,10,Rapid,21,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0
488,916,-9,2020.09.01,C42,Rated Bullet game,Russian Game: Urusov Gambit,1,0,Jan-00,https://lichess.org/UDcQE8CC,Normal,60+0,0:00:20,810,26,Low rating,Low rating,60,0,Bullet,45,3,1,4,5,2,0,9,6,0,0,0,0,0,0,1,2,1,0,2,0
490,1440,-6,2020.09.01,C56,Rated Bullet game,"Italian Game: Scotch Gambit, Nakhmanson Gambit",1,0,Jan-00,https://lichess.org/JSaFV3fR,Time forfeit,60+0,0:00:20,1410,7,Low rating,Low rating,60,0,Bullet,37,4,4,0,2,2,2,6,8,1,0,1,0,0,0,3,1,2,0,5,1
